Model,Pris,Kørte_kilometer,Link_til_bil,scrapedate,Pris_DKK,Pris_med_afgift
VW ID.4 PRO SILVER 82kWh LED APPCONNECT SITZH AHK,28600,61339,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908021439num_on_page4page2search_id56301619titleVWID.4gebrauchtkaufen,2024-11-22,213070,266337.5
VW ID.4 GTX 4MOTION AHK IQ.DRIVE WKR Assistenzpaket,46140,35000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908006057num_on_page2page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,343743,429678.75
VW ID.4 Pro Perf 21 AHK 360KAMERA IQ.LIGHT WÄRMEP.,40000,27490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908002231num_on_page1page3premiumfalsesearch_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,298000,372500
VW ID.4 Elektro Pro Performance AHKMatrixNAVSH,36440,28155,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910051099num_on_page2page3premiumfalsesearch_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,271478,339347.5
VW ID.4 Volkswagen Family 15077 AHK Pano,21000,146126,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908261404num_on_page3page3premiumfalsesearch_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,156450,195562.5
VW ID.4 Volkswagen Pro Performance Max Matrix ACC WP Kessy Nav,31290,20000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908219456num_on_page1page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,233110.5,291388.125
VW ID.4 Elektro GTX MatrixPDachNAVWärmepumpeSH,42480,10431,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910112590num_on_page2page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,316476,395595
VW ID.4 Elektro GTX,39980,7170,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910102084num_on_page3page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,297851,372313.75
VW ID.4 Elektro Pro Performance AHKMatrixNAVRFK,36940,12714,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910221962num_on_page4page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,275203,344003.75
VW ID.4 Volkswagen GTX 4M ALLBLACK 20ACCPANOIQMTRXSPORT,37810,14612,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908320790num_on_page5page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,281684.5,352105.625
VW ID.4 Volkswagen GTX Navi AHK HUD Pano Area View Travel WP 2,44490,25391,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910427575num_on_page1page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,331450.5,414313.125
VW ID.4 Pro Performance AHK LED Navi Keyless,30980,3490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910267635num_on_page2page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,230801,288501.25
VW ID.4 Volkswagen GTX 4M 20ZACCIQLIGHTSIDE360WÄRMEPUMPE,38760,21171,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908165319num_on_page3page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,288762,360952.5
"VW ID.4 Volkswagen Pure 10952 285,ohne Anzahlung ACC Wärmepumpe",23950,24693,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908531239num_on_page4page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,178427.5,223034.375
"VW ID.4 Volkswagen Pro Performance 15077 341,ohne Anzahlung Navi A",30950,37067,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908159744num_on_page5page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,230577.5,288221.875
"VW ID.4 Volkswagen Pro 4M 19577 389,ohne Anzahlung AHK Wärmepumpe",36950,21323,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908306547num_on_page1page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,275277.5,344096.875
VW ID.4 Elektro Pro Performance AHKMatrixPDach,38940,23540,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910263041num_on_page2page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,290103,362628.75
"VW ID.4 Volkswagen GTX 22077 388,ohne Anzahlung Pano Anschlussgara",34950,37863,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908435869num_on_page3page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,260377.5,325471.875
"VW ID.4 Volkswagen GTX 22077 384,ohne Anzahlung Navi Kamera Anschl",33950,44034,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908458767num_on_page4page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,252927.5,316159.375
VW ID.4 Volkswagen Pure City Mon. Leasingrate 351Euro o.Anzahl,24870,5904,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908381145num_on_page5page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,185281.5,231601.875
VW ID.4 Elektro Pro Performance AHKMatrixNAVRFK,37440,17101,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910265774num_on_page1page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,278928,348660
"VW ID.4 Volkswagen Pro Performance 15077 359,ohne Anzahlung Navi A",32950,24694,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908435668num_on_page2page3search_id56378931titleVWID.4gebrauchtkaufen,2024-11-22,245477.5,306846.875
VW ID.4 Volkswagen Pro Performance LED 19 NAVI PDC,28880,17000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908174454num_on_page1page4premiumfalsesearch_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,215156,268945
"VW ID.4 Volkswagen Pure Performance 12552 294,ohne Anzahlung",29950,13220,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908368274num_on_page2page4premiumfalsesearch_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,223127.5,278909.375
"VW ID.4 Volkswagen Pro Performance 15077 359,ohne Anzahlung AHK IQ",33950,7886,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908110440num_on_page3page4premiumfalsesearch_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,252927.5,316159.375
"VW ID.4 Volkswagen Pro Performance 15077 313,ohne Anzahlung AHK Wä",32450.000000000004,61020,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908174641num_on_page1page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,241752.50000000003,302190.62500000006
VW ID.4 Volkswagen Elektro Pro Performance AHKMatrixPDach,38940,25474,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908268650num_on_page2page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,290103,362628.75
VW ID.4 Volkswagen Pro Navi Pro AHK WP 19LM Gjr LED SHZ ACC Ap,34890,15913,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910570373num_on_page3page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,259930.5,324913.125
VW ID.4 Pure,29970,9900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910246437num_on_page4page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,223276.5,279095.625
VW ID.4 Volkswagen Pro Performance 150 kWNAVIAHKLED20ALU,24390,85000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910759533num_on_page5page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,181705.5,227131.875
VW ID.4 Volkswagen Pro Performance KAMERA AHK IQ.LIGHT WÄRMEP,37250,15280,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909062524num_on_page1page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,277512.5,346890.625
VW ID.4 Volkswagen Pro Performance AHKACCIQ.LIGHTRÜCKFAHRK.,42890,15500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908577292num_on_page2page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,319530.5,399413.125
VW ID.4 Volkswagen Pro Performance AHK IQ.Light CCS Navi Pano,35593,32458,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909029565num_on_page3page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,265167.85000000003,331459.81250000006
VW ID.4 Volkswagen 77KWhProPerf.P.ConfortLM19,37990,21330,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909456809num_on_page4page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,283025.5,353781.875
VW ID.4 Volkswagen First 77 kWh Net binnen,28474,109304,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908934224num_on_page5page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,212131.30000000002,265164.125
VW ID.4 Volkswagen GTX 4Motion 4x Paket AHK WÄRMEP. LED KAMERA,41990,26527,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908821890num_on_page1page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,312825.5,391031.875
VW ID.4 Volkswagen Pro FIRST EDITION WÄRMEPUMPE AHK REARVIEW A,30990,60530,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908825529num_on_page2page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,230875.5,288594.375
VW ID.4 Volkswagen Pure 52 kWh 109 kW Pure Pure Fahrschule,20999,59999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909442239num_on_page3page4search_id56301670titleVWID.4gebrauchtkaufen,2024-11-22,156442.55000000002,195553.18750000003
VW ID.4 Volkswagen PRO LM20 NAVI KAMERA IQ.LIGHT,34980,46242,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909437026num_on_page3page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,260601,325751.25
VW ID.4 Volkswagen Elektro Pro Performance Wärmepumpe AHKNAV,37440,4855,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909014232num_on_page4page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,278928,348660
VW ID.4 Volkswagen Pro 4MOTION WÄRMEPUMPE PANORAMA AHK REARVIE,41989,24999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908638939num_on_page1page4search_id56378988titleVWID.4gebrauchtkaufen,2024-11-22,312818.05,391022.5625
"VW ID.4 Volkswagen GTX Vollaustst. Wärmep. 8x Alu, 5 J. Gar.",45900,10800,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909261357num_on_page1page5premiumfalsesearch_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,341955,427443.75
VW ID.4 Volkswagen Business 77 kWh Warmtepomp Prachtige k,28500,85438,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909035864num_on_page2page5premiumfalsesearch_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,212325,265406.25
VW ID.4 Volkswagen GTX Navi AHK HUD Pano Area View Travel WP 2,44489,25391,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909450485num_on_page3page5premiumfalsesearch_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,331443.05,414303.8125
VW ID.4 Volkswagen 77 kWh 4MOTION GTX mit Navi GTX,39500,15000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909054238num_on_page1page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,294275,367843.75
VW ID.4 Volkswagen Pro Performance LED 19 NAVI PDC,28880,17000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909301644num_on_page2page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,215156,268945
VW ID.4 Volkswagen Pro 77 kWh 195 kW 4MOTION Pro mit Navi Pro,39500,14000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909075715num_on_page3page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,294275,367843.75
VW ID.4 Pure Performance Navi LED,24160,28660,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890827339num_on_page1page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,179992,224990
VW ID.4 Volkswagen GTX Navi Pano AHK HUD IQLED ACC SHZ,47490,11363,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910689904num_on_page2page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,353800.5,442250.625
VW ID.4 Volkswagen GTX 4Motion Navi LEDMatrix LM20AHZV SH,41900,35000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897384234num_on_page3page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,312155,390193.75
VW ID.4 Volkswagen Pro Performance NAV PANO MATRIX 4xKAM HEAD MEMORY,40920,9900,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910682047num_on_page1page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,304854,381067.5
"VW ID.4 Volkswagen Pro AHK IQ.LIGHT Ganzja Rate 299 Euro 0,99",382000,14278,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891044343num_on_page2page1search_id56113263titleGebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,2845900,3557375
VW ID.4 Pure Performance NaviPro ACC SHZ,25755,43600,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893176605num_on_page2page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,191874.75,239843.4375
VW ID.4 Volkswagen Pro Performance 77 kWh 150 kW Pro,28500,19500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1892260621num_on_page3page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,212325,265406.25
VW ID.4 Volkswagen Pro Performance 1GangAutomatik,339000,16420,httpswww.12gebrauchtwagen.decpartnercar_ad_id1889969102num_on_page4page5search_id56301693titleVWID.4gebrauchtkaufen,2024-11-22,2525550,3156937.5
VW ID.4 Volkswagen Pro Navi ACC LED PDC,349000,7336,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891050005num_on_page4page1search_id56113263titleGebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,2600050,3250062.5
VW ID.4,34720,26125,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875322544num_on_page1page5search_id56379043titleVWID.4gebrauchtkaufen,2024-11-22,258664,323330
VW ID.4 Volkswagen GTX 4M Matrix ACC Pano Navi,36980,28200,httpswww.12gebrauchtwagen.decpartnercar_ad_id1876175164num_on_page1page6premiumfalsesearch_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,275501,344376.25
VW ID.4 Pro Performance Family 77 KWh Kam. Matrix Panoramadach,30590,73027,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875294914num_on_page2page6premiumfalsesearch_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,227895.5,284869.375
VW ID.4 Volkswagen Pro Performance AHK CCS Navi LED DAB 19Zoll,29740,26700,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897389443num_on_page3page6premiumfalsesearch_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,221563,276953.75
VW ID.4 Volkswagen Pro Performance 1GangAutomatik,339000,16420,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891044290num_on_page1page6search_id56301722titleVWID.4gebrauchtkaufen,2024-11-22,2525550,3156937.5
VW ID.4 PRO PERFORMANCE 77 KWH AUTOMATIK ACCRADAR,32100,34000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1877445344num_on_page1page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,239145,298931.25
VW ID.4 Pro Performance NAVI LED ACC AHK,37149,25917,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905614339num_on_page2page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,276760.05,345950.0625
VW ID.4 PURE LM19 AHK NAVIPRO ACC PDC LED,28180,52088,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893100248num_on_page3page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,209941,262426.25
VW ID.4 GTX 4X4 PANO AHK 360CAM ACC LM21 EKLAPPE,42911,13720,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903443009num_on_page4page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,319686.95,399608.6875
VW ID.4 Pro Performance AHK Navi Anschlussgarantie,41880,12908,httpswww.12gebrauchtwagen.decpartnercar_ad_id1745383139num_on_page1page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,312006,390007.5
VW ID.4 Pro Performance AHK Navi Anschlussgarantie,41880,11705,httpswww.12gebrauchtwagen.decpartnercar_ad_id1765915357num_on_page2page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,312006,390007.5
VW ID.4 Volkswagen Pro,48000,15000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897626693num_on_page3page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,357600,447000
VW ID.4 PRO MOVE 77 kWh NAVI LED KAMERA APP CONNECT,51980,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890980817num_on_page4page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,387251,484063.75
VW ID.4 Pro Performance AHK Navi Anschlussgarantie,41880,10729,httpswww.12gebrauchtwagen.decpartnercar_ad_id1766068109num_on_page5page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,312006,390007.5
VW ID.4 Volkswagen 1st Pro PerformanceAHKNAVACCKAM,37800,38500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1864199063num_on_page1page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,281610,352012.5
VW ID.4 150 kW Pro Performance AHKWÄRMEPUMPE,39990,23000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1743451437num_on_page2page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,297925.5,372406.875
VW ID.4 Pro Performance WÄRMEPUMPE CAM ACC LM20 NAVI,36658,14511,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903264909num_on_page3page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,273102.10000000003,341377.62500000006
VW ID.4 PURE FAHRSCHULAUSSTATTUNG KAMERA NAVI,24400,31707,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891026086num_on_page2page6search_id56265459titleElektroGebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,181780,227225
VW ID.4 PURE FAHRSCHULAUSSTATTUNG KAMERA NAVI,24400,31707,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890866403num_on_page4page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,181780,227225
VW ID.4 Volkswagen Pure Wärmepumpe ACC Kamera EasyOpen Keyless,289000,17541,httpswww.12gebrauchtwagen.decpartnercar_ad_id1893358406num_on_page3page1search_id56283486titleVWID.4Gebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,2153050,2691312.5
VW ID.4 Volkswagen Pro AHKMatrixACCCarPlayel.HeckLEDLM,34985,11965,httpswww.12gebrauchtwagen.decpartnercar_ad_id1892265508num_on_page1page6search_id56379102titleVWID.4gebrauchtkaufen,2024-11-22,260638.25,325797.8125
VW ID.4 GTX 4Motion IQ.LIGHTREAR VIEWAHK,43940,10000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901214625num_on_page1page7premiumfalsesearch_id56379157titleVWID.4gebrauchtkaufen,2024-11-22,327353,409191.25
VW ID.4 GTX 4Motion Navi AHK Pano HUD Area View WP DCC 21LM,47890,28221,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875285878num_on_page2page7premiumfalsesearch_id56379157titleVWID.4gebrauchtkaufen,2024-11-22,356780.5,445975.625
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,50570,11,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898944555num_on_page3page7premiumfalsesearch_id56379157titleVWID.4gebrauchtkaufen,2024-11-22,376746.5,470933.125
VW ID.4 Pro 286 PS 77 kWh LED KAMERA NAVI KEYLESS,50592,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875321624num_on_page1page7search_id56379157titleVWID.4gebrauchtkaufen,2024-11-22,376910.4,471138
