Pris,Model,Detaljer,Beskrivelse,Lokation,ForhandlerID,Forhandler_navn,Forhandler_adresse,Forhandler_CVR,Link_til_bil,car_id
299.900 kr.,VW ID.41ST Max 5d,"4/2021, 39.000 km, 490 km rækkevidde, El","Vi har netop fået denne ID.4 med næsten alle udstyrspakker. . Med det store motor, samt stort batteri på 82 Kwh. . DCC undervogn med adaptiv dæmpning. Svingbart træk må trække op til 1.200 kg. Med Varmepumpe for rækkevidde optimering. Kan finansieres fra 2,69 i fast rente. Ring til salgsafdeling for at høre mere. . Bilens udstyrspakker kan læses herunder. . DK pakke. Varmepumpe, Adaptiv fartpilot samt AppConnect inkl. Wireless Apple CarPlay. . Assistentpakke Plus. Ambientebelysning ved dørhåndtag, nøglefri betjening Advanced, tyverialarm, PreCrash og Park Assist Plus, 360 graders kamera Area View Bagklap med elbetjening samt Easy openclose funktion, Travel Assist inkl. Traffic Jam Assist, Emergency Assist og Blind Spot sensor. . Designpakke Plus. Panoramaglastag i mørkt glas med elektrisk solgardin,. Matrix LED forlygter IQ.Light, 3D LED baglygter, Dynamic Light Assist, Ambientebelysning imellem forlygterne og Tonede. ruder bag med 65 lysabsorbering, lyddæmpende for og sideruder.. . Komfortpakke Plus. Climatronic klimaanlæg med 3 zoner og Air Care Variabel bagagerumsbund, netadskillelse og bagagerumsnet, Forrude opvarmelig, lyddæmpet og infrarød reflekterende, forsæder. med indstillelig varme, 2 USBC indgange for og 2 USBC ladestik bag. . Sportspakke Plus. Undervogn med adaptiv dæmpning og styretøj med progressiv udveksling. . Multimediepakke Plus. Navigation Discover Pro og mobiltelefonforberedelse Comfort med induktiv opladning. Headup Display med Augmented Reality samt Lydsystem med digital forstærker og subwoofer. . Bilens øvrige udstyr kan nævnes herunder. . aut., 21 alufælge, varme i rat, airc., fuldaut. klima, 3 zone klima, elektrisk kabinevarmer, alarm, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, el indst. forsæder, el indst. førersæde m. memory, glastag, 4x elruder, elklapbare sidespejle m. varme, 360 kamera, bakkamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, el betjent bagklap, dæktryksmåler, adaptiv undervogn, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, headup display, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, el komfortsæder, lygtevasker, tågelygter, bixenon, xenonlys, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, abs, antispin, esp, servo, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, sænket, mørktonede ruder i bag, ikke ryger, service ok, svingbart træk elektrisk","Silkeborg, Østjylland",id13212,Detaljer,"Lillehøjvej 44, 8600 Silkeborg",CVR-nr.: 41666951,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6354684,6354684
334.900 kr.,VW ID.4GTX 4Motion 5d,"2/2023, 100 km, 479 km rækkevidde, El","Bemærl at bilen er med BAKKAMERA VARMEPUMPE. . Her har du chancen for at opleve køreglæden med den næsten nye VW ID.4 GTX 4Motion en avanceret elektrisk SUV fra 2023, der imponerer med sin klasseledende elektriske ydeevne og en lang række moderne teknologier. Med sin overkommelige ejerafgift og praktiske funktioner er denne bil skræddersyet til at opfylde alle dine kørebehov og meget mere.. . Bilen kommer med automatgear, som sikrer en glat og komfortabel køreoplevelse, og den er udstyret med Apple CarPlay Android Auto, så du let kan tilslutte din smartphone til bilens system. Den adaptive fartpilot gør lange køreture til en leg, mens det 2zoners klimaanlæg sørger for, at både fører og passagerer kan nyde kørslen i optimal komfort.. . Med funktioner som nøglefri start, navigation og parkeringssensorer både for og bag er VW ID.4 GTX designet til at gøre din daglige kørsel mere praktisk og bekvem. Sædevarme foran sikrer, at du har det varmt på kolde morgener, og de stilfulde 20 alufælge og LEDforlygter giver bilen et moderne og elegant udtryk.. . Sikkerheden er også i top med funktioner som skiltegenkendelse, vejbaneassistent, aktiv nødbremse og træthedsregistrering, som alle hjælper med at holde dig sikker på vejen. Denne ID.4 GTX kombinerer elektrisk performance med rummelighed og de nyeste teknologier klar til at tage din køreoplevelse til det næste niveau. . . Automatgear, Apple CarPlay, Android Auto, Elhåndbremse, Fjernbetjent centrallås, Klimaanlæg 2zoner, Mirror link, Multifunktionsrat, Navigation, Nøglefri start, Parkeringssensor forbag, Sædevarme for, 20 Alufælge, LED forlygter, LED baglygter, Tagræling, Metallak, Mørktonede ruder bag, Kopholder, ABS, Airbag, Træthedsregistrering, Vejbaneassistent, Skiltegenkendelse, ESP, Antispin, Anhængertræk svingbart elek., Bluetooth, Bakkamera, Ambient interiørbelysning, Aircondition, Adaptiv fartpilot, Elruder forbag, Radio, Regnsensor, USBC stik, 4MATIC, Fuld LED forlygter, Sort tag, Armlæn forbag, Dellæder, Højdejusterbart førersæde, Højdejusterbart passagersæde, Justerbart rat, Læderrat, Sportssæder, Varme i rattet, Dynamiske køretilstande, Elfoldbare spejle m. varme, Forklimatisering, Håndfri telefon, Infocenter, Keyless go, Lyssensor, Opvarmet forrude, Servo, Udvendig temperaturmåler, Aktiv kørebaneassistent, Alarm, Automatisk aflåsning, Automatisk nødbremsesystem, Blindvinkelassistent, Dæktrykssensor, Hill assist, Isofix, Varme i forruden, Varmepumpe","København N, København",id10779,Detaljer,"Tagensvej 148-150, 2200 København N",CVR-nr.: 21481483,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6096963,6096963
364.900 kr. (Engros/CVR),VW ID.4Pro 5d,"3/2024, 11.000 km, 525 km rækkevidde, El","VI er Autoriseret Volkswagen Forhandler.. Alle vores biler bliver leveret med nyeste software. aut., alu., 19 alufælge, varme i rat, fuldaut. klima, motorkabinevarmer, alarm, c.lås, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, 4x elruder, elklapbare sidespejle m. varme, automatisk parkerings system, 360 kamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, internet, trådløs mobilopladning, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, tågelygter, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, airbag, abs, antispin, esp, servo, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, tagræling, mørktonede ruder i bag, afhentning, svingbart træk elektrisk","Esbjerg N, Syd- og Sønderjylland",id2152,Detaljer,"Skagerrakvej 4, 6715 Esbjerg N",CVR-nr.: 77552812,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6352022,6352022
364.900 kr. (Engros/CVR),VW ID.4Pro 5d,"3/2024, 11.000 km, 525 km rækkevidde, El","VI er Autoriseret Volkswagen Forhandler.. Alle vores biler bliver leveret med nyeste software. aut., alu., 19 alufælge, varme i rat, fuldaut. klima, motorkabinevarmer, alarm, c.lås, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, 4x elruder, elklapbare sidespejle m. varme, automatisk parkerings system, 360 kamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, internet, trådløs mobilopladning, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, tågelygter, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, airbag, abs, antispin, esp, servo, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, tagræling, mørktonede ruder i bag, afhentning, svingbart træk elektrisk","Esbjerg N, Syd- og Sønderjylland",id2152,Detaljer,"Skagerrakvej 4, 6715 Esbjerg N",CVR-nr.: 77552812,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6352022,6352022
279.900 kr.,VW ID.4Pro Performance 5d,"5/2023, 42.000 km, 531 km rækkevidde, El","ID.4 fra 52023, denne lakeret i Scale Silver og har kørt 42000 km. . 77 kWh batteri. 514 km rækkevidde. . Fremhævet udstyr. ️ Varmepumpe. ️ Adaptiv Fartpilot. ️ Nøgelfri start. ️ Varme i rat og sidespejle. ️ Parkeringssensor for og bag. ️ Navigation. ️ Apple Carplay og Android Auto. . ️ Vi tilbyder en landsdækkende og autoriseret service og reparationsaftale, så du kan køre trygt hjem.. . ‍ Få en attraktiv forsikring med bred dækning og konkurrencedygtige priser igennem Volkswagen forsikring.. . Skarpe finansieringsmuligheder med udbetaling, løbetid og rentetype, som kan justeres efter jeres personlige ønske.. . Er din drømmebil fuld eller delvist elektrisk, rådgiver vi også om ladeløsninger både derhjemme og på farten i ind og udland.. . Se mere på www.semlermobility.dk og www.vwsf.dk.","Frederikssund, Nordsjælland",id1254,Detaljer,"Holmensvej  10, 3600 Frederikssund",CVR-nr.: 36553103,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6271168,6271168
299.900 kr.,VW ID.4GTX 4Motion 5d,"6/2022, 43.000 km, 476 km rækkevidde, El","Så er den populære ID.4 GTX igen på lager. godt med udstyr og rækkevidde, skynd jer ned i butikken. . 77kwh batteri. Rækkevidde WLTP 496km. Op til 150 kW DC opladning. Op til 11 kW AC opladning. . Adaptiv fartpilot . Navigation Discover Pro. LED Matrix forlygter IQ.Light. Bakkamera. Lane Assist. Dynamic Light Assist. Varmepumpe. Nøglefri betjening. AppConnect inkl. Wireless Apple Carplay og Android Auto. 20 letmetalfælge. Varme i forrude. Varme i rat. . og meget mere.... . Du kan trygt handle bil hos Autocentralen Vores mange kunder har talt og vurderer os. fremragende på Trustpilot . . Vi tilbyder vores kunder den absolut største tryghed i en bilhandel. . En elbil som denne er fantastisk og oplevelsen bliver endnu bedre, når alt er opdateret og bilens historik er gennemgået grundigt Dine fordele hos Autocentralen. . Vi er autoriseret forhandler af VW, Skoda, Cupra og Seat. Vi gennemgår bilen teknisk og opdaterer software mv. inden levering. Vi laver et marketchange, så du er sikret mulige opdateringer Overtheair fremadrettet. Vi kender bilens historik . En elbil giver mange muligheder og kræver en grundig gennemganginstruktion for at du får fuldt udbytte af alle bilens muligheder Det er altid en del af et bilkøb hos os. . REDRIVE Alle vores biler har gennemgået en kosmetisk og teknisk klargøring og gennemgået på mere end x kontrolpunkter inden køb og levering. FINANSIERING Vi tilbyder fast og variabel rente, med og uden udbetaling, kort eller lang løbetid Kort og godt vi tilpasser finansieringen dine ønsker og behov. FORSIKRING Vi arbejder sammen med mange af de bedste forsikringsselskaber og tilbyder en forsikringsløsning, hvor prisen er lav og dækningen god. SERVICEAFTALE Ønsker du serviceaftale så tilbyder vi flere forskellige løsninger alt afhængig af bilen og dine ønsker. GARANTI Ønsker du mere end købelovens bestemmelser, så har vi mulighed for at tilbyde dig yderligere dækninger, således du trygt kan køre i bilen i mange år.,","Vejle, Syd- og Sønderjylland",id13292,Detaljer,"Bugattivej 4, 7100 Vejle",CVR-nr.: 41340355,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6366838,6366838
334.800 kr.,VW ID.4Pro Performance 5d,"4/2023, 8.000 km, 531 km rækkevidde, El","BEMÆRK SVINGBART TRÆK Sporty ID.4 med fuldt udstyr og varmepumpe. . Highlights. Svingbart træk. Panoramaglastag med elektrisk solgardin. Headup display. Elektrisk kabinevarmer. ACC adaptiv fartpilot m. followtostop. Læderalcantara sportssæder. Matrix LED forlygter IQ light. Keyless Advanced nøglefri betjening. Originale 21 alufælge Narvik. 360 kamera. Blindvinkelsassistent og vognbaneassistent. El betjent bagklap m. virtuel pedal. Varmepumpe. Varme i rattet. Navigation. Gletsjerhvid metallak. Trådløs mobilopladning. Digital soundpakke m. subwoofer. . Digitalt cockpit, ambientebelysning, wireless App Connect m. Apple Carplay og Android Auto, designpakke plus, komfortpakke plus, interiørpakke style grey, assistentpakke plus, multimediapakke plus, elklapbare sidespejle m. varme, DABradio, kø assistent, emergency assist, læder multifunktionsrat, 3 zone klima, skiltegenkendelse, fjernlysassistent, sort loftshimmel, ambientebelysning udvendigt, sædevarme, front assist, frakobling af passagerairbag, alarm, parkeringssensor for og bag, blank ræling og blanke rudelister, musikstreaming via bluetooth, udvidet sikkerhedssystem PreCrash basic og front, auto. nedbl. bakspejl, el indst. lændestøtte, regnsensor, tagræling, isofix, ikke ryger, m.m.. . Importbil udstyr kan variere fra dansk model,. . Attraktiv finansiering tilbydes til lav rente via grønt billån. Kontakt Lars Hein Automobiler for et uforpligtende tilbud. Vi tager gerne din nuværende bil i bytte.","Ribe, Syd- og Sønderjylland",id6283,Detaljer,"Industrivej 48 B, 6760 Ribe",CVR-nr.: 10109957,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6359576,6359576
259.500 kr.,VW ID.4Pro Performance Tech 5d,"5/2021, 82.000 km, 490 km rækkevidde, El","Veludstyret Volkswagen ID.4 Pro Performance med masser af udstyr. . Nævneværdigt udstyr vi vil fremhæve. Trådløs Apple Carpaly Android Auto. Headup display. Adaptiv fartpilot m. lane keep assist. Panoramaglastag . Eljusterbare sæder foran m. memory i begge sider. 12 touchskærm m. navigation. Parkeringssensor for bag samt 360 kamera. Ratvarme sædevarme. Klimaanlæg m. 3zoner. Fuld LED lygter. 19 alufælge. Nøglefri betjening. Elbagklap m. fodspark. . Finansiering med og uden udbetaling. . Vi tager ALTID din nuværende bil i bytte. . Gør ligesom mange andre af vores kunder få en attraktiv serviceaftale til bilen, der matcher dine ønsker og behov. . ️️️️️ Vi har høj kundetilfredshed på Trustpilot. . Salgsafdeling har åben. Alle hverdage mellem 0900 1730. Lørdag og søndag mellem 1100 1600. . Kontakt os. . Tlf. 56 67 70 00. kogebn.dk. Adresse. Tangmosevej 108. 4600 Køge. . Chat med os på bn.dk. . Velkommen indenfor hos Ford og Volvo i Køge, der har til huse i et af områdets flotteste bilhuse. Her bliver du mødt af faguddannet personale, der har mange års erfaring. Hos Bjarne Nielsen AS sælger vi mere end 10.000 biler årligt, og det er med til at give os et stort netværk, hvad enten du ønsker at købe en bil privat eller til din virksomhed. Til erhvervslivet har vi eksempelvis et stort udvalg af leasing og finansieringsløsninger. Vores værksted rummer topmoderne faciliteter blandt andet et dedikeret Volvo VPSområde, hvor din Volvo får den bedste tænkelige behandling.. . Køb også din brugte bil online på bn.dk gratis levering i hele Danmark. . . skiltegenkendelse, DAB radio, el betjent bagklap, lane assist, blindvinkelsassistent, automatisk nødbremsesystem, Apple CarPlay, Android Auto, airc., 4x elruder, fartpilot, isofix, tågelygter, ESP, ABS, navigation, airbag, alarm, startspærre, antispin, 3 zone klima, aut., bakkamera, håndfrit til mobil, multifunktionsrat, regnsensor, sædevarme, udv. temp. måler, USB tilslutning, dellæder, højdejust. førersæde, kopholder, læderrat, splitbagsæde, 19 Alufælge, LED kørelys, mørktonede ruder i bag, armlæn, varme i rat, auto. nedbl. Bakspejl, fjernlysassistent, elklapbare sidespejle m. varme, adaptiv fartpilot, headup display, nøglefri betjening, parkeringssensor, dæktryksmåler, bluetooth, el indst. forsæder, digitalt cockpit, trådløs mobilopladning, 360 kamera, bagagerumsdækken, musikstreaming via bluetooth, træthedsregistrering","Køge, Syd- og Vestsjælland",id11868,Detaljer,"Tangmosevej 108, 4600 Køge",CVR-nr.: 31943140,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-tech-5d/6321699,6321699
294.900 kr.,VW ID.4GTX 4Motion 5d,"7/2021, 23.000 km, 479 km rækkevidde, El","TIL OMGÅENDE LEVERING️. __________________________. . ️ Sort Himmel . ️ IQ Light Fuld LED lygter. ️ Digital Cockpit . ️ Adaptiv Fartpilot. ️ Navigation med skiltegenkendelse . ️ Apple CarplayAndroid Auto. ️ Trådløs mobilopladning . ️ Vognbaneassistent . ️ Varme i rat og forsæder. ️ Nøglefri betjening . ️ Bakkamera . ️ Parkeringssensor for bag. ️ Nøglefri betjening . ️ Træthedsregistrering. ️ 20 alufælge . ️ Multifunktionslæderrat. ️ Mørktonede ruder i bag. ️ Isofix. . FINANSIERING både med og uden udbetaling, TIL GODE VILKÅR.. . Alle vore biler leveres NYSYNET.. . Mulighed for tilkøb af op til 24 måneders Cargarantie.. . DIGITAL video fremvisning af alle vore biler.. . Medlem af Dansk Bilbrancheråd.. . TAGER gerne din brugte bil i bytte, uanset stand, årgang og kilometer.. . aut., alu., 20 alufælge, 2 zone klima, motorkabinevarmer, alarm, c.lås, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, 4x elruder, elspejle, elklapbare sidespejle, elklapbare sidespejle m. varme, elspejle mvarme, bakkamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, automatisk startstop, træthedsregistrering, skiltegenkendelse, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, trådløs mobilopladning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, dellæder, læderrat, splitbagsæde, automatisk lys, airbag, db. airbags, 4 airbags, 6 airbags, abs, esp, antispin, servo, vognbaneassistent, mørktonede ruder i bag, fuld led forlygter, led kørelys, varme i rat, tagræling, dæktryksmåler, android auto, apple carplay","Silkeborg, Østjylland",id11042,Detaljer,"Priorsvej 17, 8600 Silkeborg",CVR-nr.: 41373334,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6276042,6276042
254.800 kr.,VW ID.4Pro Performance 1ST Max 5d,"3/2021, 57.000 km, 490 km rækkevidde, El","️ VW ID.4 PRO PERFORMANCE 1ST MAX 204HK. ️ VARMEPUMPE. ️ PANORAMA GLASTAG. ️ SVINGBART TRÆK. ️ HEADUP DISPLAY. ️ IQ.LIGHT LYSPAKKE. ️ LÆDERALCANATARA SÆDER. ️ FORSÆDER MED MEMORY OG MASSAGE. ️ 21 ALUFÆLGE. ️ 360 KAMERA. ️ EL BETJENT BAGKLAP. ️ VARME I FORSÆDER OG RAT. ️ 529KM RÆKKEVIDDE. ️ APPLE CARPLAY ANDROID AUTO. ️ ADAPTIV FARTPILOT. ️ PARKERINGSSENSOR FOR OG BAG. ️ ISOFIX. ️ EL KLAPBARE SPEJLE MED VARME. ️ NAVIGATION. ️ OG MEGET MEGET MERE. . ALLE VORES BILER LEVERES NYSYNET KLARGJORT SERVICERET. . TILKØB 12 MÅNEDER CARGARANTIESIKRING. VI TAGER GERNE DIN BRUGTE BIL I BYTTE. MEDLEM AF AUTOBRANCHEN DANMARK. . ️RØDBJERG BILER ER BEDØMT SOM FREMRAGENDE PÅ TRUSTPILOT 4, 9️. . aut., alu., 21 alufælge, varme i rat, 3 zone klima, fuldaut. klima, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, el indst. forsæder, el indst. førersæde m. memory, glastag, 4x elruder, elklapbare sidespejle m. varme, 360 kamera, bakkamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, automatisk startstop, el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, headup display, android auto, apple carplay, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, el komfortsæder, sportssæder, automatisk lys, fjernlysassistent, fuld led forlygter, abs, antispin, esp, servo, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, tonede ruder, mørktonede ruder i bag, ikke ryger, lev. nysynet, service ok, svingbart træk elektrisk, svingbart træk manuel, aftag. træk, træk. . Professionel rådgivning handler ikke bare om, hvilken bil der passer til dig og dine behov. Det handler også om, hvilket billån der passer til dig og din økonomi.. . HOS RØDBJERG BILER KAN DU FINANSIERE BÅDE MED OG UDEN UDBETALING. . Lad os klare finansieringen og lad de fornuftige priser og gode vilkår komme dig til gode.. . Vores samarbejde med bilfinansieringen betyder at vi kan klare finansieringen for dig på en enkelt og lynhurtig måde.. . Så ring og få en snak om den bil, du har i kikkerten.. . ÅBNINGSTIDER. Man Tors 1000 1700. Fre 1000 1600. Lør Lukket. Søn 1100 1600. . ️ 45 52785278. 45 28868583. inforbbiler.dk. www.rbbiler.dk","Taastrup, København",id12497,Detaljer,"Mårkærvej 13, 2630 Taastrup",CVR-nr.: 42579432,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6351907,6351907
244.900 kr.,VW ID.4Pro Performance 1ST 5d,"3/2021, 64.000 km, 490 km rækkevidde, El","Sprød ID.4 Pro performance 1ST. . Bilen kommer med en masse lækkert udstyr heraf kan der bla. nævnes følgende. . Assistentpakke. Komfortpakke. 20 Alu. Fælge. Interiørpakke Style Brun. Bakkamera samt PSensorer For Bag. Navigation Discover pro. Rratvarme. ElKlapbare Sidespejle. Eksteriørpakke Silver. Tonede Ruder. . Og meget mere... . . Eventuelle ekstra tilkøb . . Keramisk Coating Kr. 6.495, . Lakforsegling Kr. 2.995, . Undervognsbehandling Kr. 4.990, . . Vi tilbyder følgende . . Mulighed for at få din gamle bil med i handlen . Attaraktive finansieringsmuligheder . Mulighed for prøvekørselfremvisning af bilen . Kør i din gamle bil indtil du overtager den nye","Glostrup, København",id1380,Detaljer,"Hovedvejen  193, 2600 Glostrup",CVR-nr.: 36553103,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6267934,6267934
269.900 kr.,VW ID.4Pro Performance 5d,"5/2021, 54.500 km, 517 km rækkevidde, El","LEDER DU EFTER EN ELBIL MED HØJT KOMFORTNIVEAU OG LANG UDSTYRSLITSE I ET STILRENT DESIGN, SÅ LÆS MED HER. . ID.4 PRO PERFORMANCE. . HAR DU SPØRGSMÅL TIL BILEN ELLER ØNSKER DU SELV AT OPLEVE BILEN PÅ EN PRØVETUR, SÅ TØV IKKE MED AT KONTAKTE OS 96742600. . UDSTYRET MED BL.A. GLASTAG. LED MATRIX LYGTER. BAKKAMERA. NØGLEFRI BETJENING. 3 ZONE KLIMAANLÆG. . 77 KWH 517 KM.. 204 HK. Derudover også aut., 21 alufælge, varme i rat, fuldaut. klima, 3 zone klima, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, varme i forrude, auto. nedbl. bakspejl, startspærre, udv. temp. måler, regnsensor, sædevarme, højdejust. førersæde, glastag, 4x elruder, elklapbare sidespejle m. varme, bakkamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, isofix, automatisk lys, fjernlysassistent, fuld led forlygter, airbag, vognbaneassistent, automatisk nødbremsesystem, mørktonede ruder i bag. . HUSK, AT VI OGSÅ TILBYDER ATTRAKTIVE FINANSERINGS SAMT FORSIKRINGSMULIGHEDER","Ringkøbing, Vestjylland",id2772,Detaljer,"Enghavevej 3-9, 6950 Ringkøbing",CVR-nr.: 56481710,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6310094,6310094
249.900 kr.,VW ID.4Pro Performance 1ST 5d,"5/2021, 39.000 km, 490 km rækkevidde, El","Med vores ID. 4 får du en rummelig og stilren elbil, perfekt til både bykørsel og længere ture komfort, grøn teknologi og funktionalitet i en pakke. . Kunne dette være noget for dig. . HIGHLIGHTS . Lav KM. Varmepumpe. Bakkamera. Parkerings Sensor for og bag. Trådløst Apple Carplay Android Auto. Navigation med Dansk tale. Adaptiv Fartpilot. Kun kr. 390 i ejerafgift. . Den er med et 77 kWh batteri og på 537 WLTP rækkevidde. . . Udstyrsliste. . , 20 alufælge,, airc., fuldaut. klima, c. c.lås, fartpilot, nøglefri betjening, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, elspejle, bakkamera, parkeringssensor bag, parkeringssensor for, adaptiv fartpilot, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, armlæn, isofix, kopholder, stofindtræk, splitbagsæde, automatisk lys, airbag, abs, antispin, esp, vognbaneassistent, automatisk nødbremsesystem, mørktonede ruder i bag, ikke ryger, 4x elruder, led kørelys, fjernlysassistent, fuld led forlygter, elklapbare sidespejle m. varme. . Har du behov for et billån, så kan vi hjælpe med finansiering med eller uden udbetaling til markedets bedste priser og vilkår, og vi tager naturligvis gerne din nuværende bil i bytte, hvis du har behov for at få den afsat.. . Salgsafdelingen holder åbent Mandag Fredag kl. 09.00 17.30 Lørdag og Søndag . kl 11.00 16.00 32 47 90 00 eller skriv til en a os, vi står klar til at hjælpe.. . simmosemlermobility.dk kekmovwamager.dk jetvwamager.dk mfvwamager.dk heluvwamager.dk. . Englandsvej 437d, 2770 Kastrup,","Kastrup, København",id1046,Detaljer,"Englandsvej 437, 2770 Kastrup",CVR-nr.: 27268188,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6366691,6366691
254.900 kr.,VW ID.4Pro Performance 1ST 5d,"4/2021, 46.000 km, 490 km rækkevidde, El","Sprød ID.4 Pro performance 1ST. . Bilen kommer med en masse lækkert udstyr heraf kan der bla. nævnes følgende. . Assistentpakke. Komfortpakke. 20 Alu. Fælge. Interiørpakke Style Brun. Bakkamera samt PSensorer For Bag. Navigation Discover pro. Ratvarme. ElKlapbare Sidespejle. Eksteriørpakke Silver. Tonede Ruder. . Og meget mere... . . Eventuelle ekstra tilkøb . . Keramisk Coating Kr. 6.495, . Lakforsegling Kr. 2.995, . Undervognsbehandling Kr. 4.990, . . Vi tilbyder følgende . . Mulighed for at få din gamle bil med i handlen . Attaraktive finansieringsmuligheder . Mulighed for prøvekørselfremvisning af bilen . Kør i din gamle bil indtil du overtager den nye","Glostrup, København",id1380,Detaljer,"Hovedvejen  193, 2600 Glostrup",CVR-nr.: 36553103,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6267888,6267888
