Pris,Model,Detaljer,Beskrivelse,Lokation,ForhandlerID,Forhandler_navn,Forhandler_adresse,Forhandler_CVR,Link_til_bil
314.900 kr.,VW ID.4Pro Performance 5d,"6/2023, 22.000 km, 531 km rækkevidde, El","Den rummelige og velkørende ID.4 inkl. masser af lækkert udstyr

Udvalgt ekstraudstyr:

+ Anhængertræk med svingbar krog og el-frigørelse

+ Designpakke (LED-Matrix forlygter med dynamisk kurvelys og dynamisk fjernlys, Tonede ruder bag, 3D-LED baglygter).

+ Multimediapakke (Navigation, trådløs opladning af telefon, samt forstærkning af signalet gennem bilens antenne)

+ ""Glacier white metallic"" lakering

Udvalgt standardudstyr:
Varmepumpe, Batteri på 77kWh,(+500km rækkevidde WLTP), Climatronic klimaanlæg med 2 zoner og Air Care, Lane Assist, Sidespejle el-klapbare og el-opvarmelige, Adaptiv fartpilot m. Stop and Go funktion, Dæktrykskontrolsystem, Parkeringssensorer for/bag, Front assist inkl. City Emergency Brake med fodgænger og cykel overvågning, Regnsensor, Vejskiltegenkendelse, Multifunktionslæderrat med varme, Køreprofilindstilling, Forsæder med indstillelig varme, Automatisk nedblændeligt bakspejl, Træthedsregistrering, Stemmebetjening, DAB+ modtager, 2 USB-C indgange foran samt 2 USB-C ladestik i midterkonsol bag, og meget mere.

Attraktiv finansiering og forsikring tilbydes

For yderligere information kontakt venligst salgsafdelingen på tlf. +45 59 43 20 00","Holbæk, Syd- og Vestsjælland",id1512,Detaljer,"Bilbyen 1, 4300 Holbæk",CVR-nr.: 21742031,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6310735
384.900 kr.,VW ID.4Style 5d,"5/2024, 14.000 km, 538 km rækkevidde, El","🚘 SUPER FED ID.4 Style🚘

Batteri: 77 KWH
Rækkevidde: 537 km WLTP
Ladetid hjemme med ladeboks (0 - 100 %): 8 timer
Ladetid ude ved fuld effekt (10 - 80 %) 28 min.

EKSTRAUDSTYR:
✔️Anhængertræk med svingbar krog og el-frigørelse

✔️Komfortpakke 

✔️Designpakke Plus! 
- Matrix LED forlygter IQ.Light, 3D LED baglygter, Dynamic Light Assist, Ambientebelysning imellem forlygterne og Tonede ruder bag med 65% lysabsorbering og Panorama glastag!

✔️Multimediapakke
- Navigation Discover Pro og mobiltelefonforberedelse Comfort med induktiv opladning

✔️Interiørpakke Style Grey/Black
- Ambientebelysning i 30 farver, bagsæderyglæn asymmetrisk delt (60/40) med skiklap og midterarmlæn med kopholdere, forsæder med højdeindstilling, indtræk i ArtVelour microfleece

✔️Assistentpakke Plus
- Bakkamera, ambientebelysning ved dørhåndtag, nøglefri betjening Advanced, tyverialarm, Pre-Crash og Park Assist Plus
- 360 graders kamera Area View; Bagklap med el-betjening samt Easy open/close funktion; Park Assist Plus med memory feature og Remote Parking; Travel Assist inkl. Traffic Jam Assist, Emergency Assist og Blind Spot sensor

✔️Komforpakke
- Climatronic klimaanlæg med 2 zoner og Air Care; Forrude opvarmelig, lyddæmpet og infrarød reflekterende; Forsæder med indstillelig
varme; 2 USB-C indgange for og 2 USB-C ladestik bag

✔️DK pakke
- Varmepumpe, Adaptiv fartpilot samt App-Connect inkl. Wireless Apple CarPlay

✔️19"" letmetalfælge Hamar

19"" alufælge, varme i rat, 3 zone klima, 2 zone klima, fuldaut. klima, airc., elektrisk kabinevarmer, alarm, højdejust. forsæder, højdejust. førersæde, c.lås, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, el-ruder, 4x el-ruder, el-spejle, el-klapbare sidespejle, adaptiv fartpilot, parkeringssensor (for), parkeringssensor (bag), bakkamera, 360° kamera, automatisk parkerings system, el-spejle m/varme, el-klapbare sidespejle m. varme, el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, musikstreaming via bluetooth, bluetooth, håndfrit til mobil, multifunktionsrat, navigation, dab+ radio, digitalt cockpit, android auto, apple carplay, trådløs mobilopladning, armlæn, dellæder, stofindtræk, kopholder, bagagerumsdækken, isofix, kunstlæder, splitbagsæde, læderrat, automatisk lys, airbag, fuld led forlygter, led kørelys, kurvelys, fjernlysassistent, abs, automatisk nødbremsesystem, blindvinkelsassistent, vognbaneassistent, servo, esp, antispin, tagræling, mørktonede ruder i bag, tonede ruder, ikke ryger, træk, svingbart træk (elektrisk)","Kastrup, København",id1046,Detaljer,"Englandsvej 437, 2770 Kastrup",CVR-nr.: 27268188,https://www.bilbasen.dk/brugt/bil/vw/id4/style-5d/6348654
384.900 kr.,VW ID.4Style 5d,"8/2024, 5.000 km, 538 km rækkevidde, El","Du kan lige nu få fingrende i denne VW ID.4 Style med 286 HK i farven Glacier White Metallic

Bilen koster 390- i halvårlig CO2-ejerafgift og har en samlet rækkevidde på 538 km på en enkelt opladning, 

Ekstraudstyr samt fremhævet standard udstyr:
🟢 19"" alufælge
🟢360* Kamera. 
🟢Navigation 
🟢Adaptiv fartpilot
🟢El Bagklap med easy open and close funktion
🟢El justerbar sæder med memory
🟢 Svingbart anhængertræk 
🟢 Matrix LED for & Baglygter

Pas bedre på din bil og tilkøb:
👉🏽 Keramisk lakforseling 
👉🏽 Sædeimprægnering 
👉🏽 Beskyttelsesfolie til indstigningslister og læssekant 
👉🏽 Undervognbehandling

Bilen leveres professionelt klargjort. 

👨🏽‍💼 Få en attraktiv forsikring med bred dækning og konkurrencedygtige priser igennem vores mærkeforsikring. 

💶 Skarpe finansieringsmuligheder med udbetaling, løbetid og rentetype, som kan justeres efter jeres personlige ønske. 

📲 +45 49 22 21 44
📧 salg@kronborg-auto.dk
📍 Klostermosevej 121, 3000 Helsingør.","Helsingør, Nordsjælland",id1215,Detaljer,"Klostermosevej  121, 3000 Helsingør",CVR-nr.: 42525928,https://www.bilbasen.dk/brugt/bil/vw/id4/style-5d/6372107
254.900 kr.,VW ID.4Pro Performance 5d,"5/2021, 29.000 km, 517 km rækkevidde, El","Ring for besigtelse

Aftageligt træk 1.000kg

Lædermultifunktionsrat, elopvarmet, Med undvigeassistent, med
drejeassistent, Vognbaneassistent, Navigationssystem, Fjernlysassistent, 
Front Assist, der advarer og bremser, Wired & Wireless App-Connect, Komfortudstyr, First Edition, Træthedsregistrering, bakkamerasystem, Climatronic, Ambientelys, vejskiltegenkendelse, 


aut., alu., varme i rat, fuldaut. klima, 2 zone klima, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. førersæde, 4x el-ruder, el-klapbare sidespejle m. varme, bakkamera, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, apple carplay, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, automatisk lys, fjernlysassistent, led kørelys, fuld led forlygter, airbag, abs, antispin, esp, servo, vognbaneassistent, automatisk nødbremsesystem, tagræling, ikke ryger, aftag. træk

FINANSIERING TILBYDES - OGSÅ UDEN UDBETALING.

For yderligere information vedrørende netop denne bil, Ring 22 10 93 38, 22 10 93 35 eller 22 10 93 44.
Eller send en mail:
Simon@bilgaardenhostrup.dk

DER ER MULIGHED FOR AT TEGNE EN UDVIDEDET GARANTI - RING FOR PRIS PÅ DENNE BIL.

SALGSAFDELINGEN HOLDER ÅBENT:
HVERDAGE: 10-18
WEEKEND: 11-17

VI ER BELIGGENDE 10 MINUTTERS KØRSEL NORD FOR AALBORG.

DE FLESTE AF VORES BILER STÅR KLAR TIL OMGÅENDE LEVERING.

SE FLERE BILER PÅ WWW.BILGAARDENHOSTRUP.DK","Sulsted, Nordjylland",id2996,Detaljer,"Sulsted Kirkevej 1, 9381 Sulsted",CVR-nr.: 20975245,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6310248
359.900 kr.,VW ID.4GTX 4Motion 5d,"9/2023, 17.500 km, 479 km rækkevidde, El","Her har du muligheden for at erhverve dig en flot og veludstyret VW ID.4 GTX 4Motion. Denne bil  tilbyder masser af køreglæde og komfort. 

Udstyr at fremhæve: 
- Elektrisk svingbart anhængertræk. 
- Panorama glastag
- Adaptiv Fartoilot. 
- Apple CarPlay/Android Auto. 
- El-justerbare forsæder m. memory og massage. 

ID.4 GTX 4 MOTION - 21"" Alufælge, Anhængertræk svingbart (elek.), Panorama Glastag, Tonede ruder, Alcantara/læder sæder, Ambient Light, Adaptiv Fartpilot, Aircondition, Android Auto, Apple CarPlay, Auto Light Control, Automatisk op-/nedblænding, Bakkamera m. dynamisk guide, Bi-LED forlygter, Bluetooth, Centrallås, DAB radio, Digital instrumentering, Elektrisk håndbremse, El-foldbare spejle m. varme, El-justerbar lændestøtte, El-justerbart førersæde m. memory, El-justerbart passagersæde m. memory, Elruder for/bag, Fartpilot, Fjernbetjent Parkeringsassistent, Fuldautomatisk klimaanlæg, High Beam Assist, Håndfri telefon, Infocenter, Klimaanlæg 2-zoner, Læderrat m. varme, Mulighed for Spotify, Multifunktionsrat, Navigation, Nøglefri betjening, Nøglefri døre, Nøglefri start, Parkeringsassistent, Parkeringssensor bag, Parkeringssensor for, Radio, Ratbetjent Radio, Regnsensor, Sædevarme for, Touchskærm, Trykknapstart, Trådløs mobilopladning, Udvendig temperaturmåler, USB C stik, Armlæn, Justérbar lårstøtte, Kopholder, Splitbagsæde, LED baglygter, LED forlygter, LED kørelys, Tågelygter, Airbags, Automatisk nødbremsesystem, Dæktrykssensor, Isofix, LDWS (Lane Departure warning System), Lyssensor, Selealarm, Skiltegenkendelse, Træthedsregistrering","Køge, Syd- og Vestsjælland",id1627,Detaljer,"Tangmosevej 101, 4600 Køge",CVR-nr.: 81813418,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6310706
229.800 kr.,VW ID.4Pro Performance 1ST 5d,"5/2021, 64.000 km, 490 km rækkevidde, El","VW ID.4 PRO PERFORMANCE – En af de mest populære elbiler på det danske marked. En familie elbil, som er kåret til World Car of the Year 2021 og har en elektrisk rækkevidde på 517 Km ved blandet kørsel – 667 km ved ren by-kørsel

Denne ID.4 er udstyret med en masse lækkert udstyr og er klar til omgående levering!

Motor: EL 77kWh / 82 kWh [Netto/brutto]
Forbrug: 16,7 kWh/100km
Rækkevidde: 496km WLTP Bykørsel 656km
Opladning: 10-80% på 29 minutter [Offentlig ladning 135kW] eller hjemmeladning på 7t og 30 minutter [3-faset AC 11kW 0-100%]
Grøn ejerafgift: Kr. 370,- [Halvårligt]

Highlights:
🔋 Adaptiv Fartpilot
🔋 Ambiente belysning
🔋 Bakkamera & p-sensor for & bag
🔋 Nøglefri start af bilen
🔋 Trådløst Apple Carplay
🔋 Sædevarme for samt ratvarme
🔋 20"" Alufælge
🔋 Lakering: Glacier White Metallak

Adaptiv fartpilot, dette giver dig en komfortabel og afslappende tur fra A til B, 5,5” Digital instrumentering, som er brugervenligt & enkelt, der endda kan tilpasses med alt vigtig information, 10” Touchskræm m. Navigation samt Apple Carplay & Android Auto, Parkerings assistent: Bakkamera m. Parkeringssensor foran og parkeringssensor bagved, Automatgear, Automatisk op-/nedblænding, Bakkamera, Bluetooth, DAB radio, DAB+ radio, Digital instrumentering, El-håndbremse, Elruder for/bag, El-spejle med varme, Fartbegrænser, Fartpilot adaptiv, Fjernbetjent centrallås, Håndfri telefon, Klimaanlæg, Kørecomputer, Læderrat, Multifunktionsrat, Musikstreaming via bluetooth, Nøglefri start, Parkassist, Parkeringssensor bag, Parkeringssensor for, Servo, Sædevarme for, Touchskærm, USB-C stik, LED baglygter, LED forlygter, LED kørelys, Tonede ruder, Tågelygter, 10"" Touchskærm, Armlæn, Bagagerumsdækken, Højdejusterbart førersæde, Højdejusterbart passagersæde, Justerbart rat, Kopholder, Splitbagsæde, Stofindtræk/dellæder, ABS, Airbag, Antispin, Automatisk nødbremsesystem, Dæktrykssensor, ESP, Isofix, Lyssensor, Selealarm, Selestrammer, Skiltegenkendelse, Startspærre, Træthedsregistrering, Vejbaneassistent.

Hos Cars.dk kan du som kunde forvente kyndig rådgivning i øjenhøjde!

Vi har et af Danmarks største udvalg af brugte elbiler til nogle af markedets mest attraktive priser. Som kunde i Cars er du i trygge hænder, vi vejleder dig i alt fra køb af bil og tilbehør, til valg af lade løsning, forsikring og finansiering, og altid på nogle af markeds bedste vilkår.

Salgsafdelingens åbningstider:
Mandag – Fredag kl. 09.00-17.30
Lørdag og søndag kl. 11.00-16.00

Kontakt eller besøg os her:
📞 86 150 150
💻 www.cars.dk
📧 info@cars.dk
📍 Axel Kiers Vej 13, 8270 Højbjerg
☕ Vi har altid kaffe på kanden og tid til en uforpligtende snak

Cars.dk
- En del af Via Biler gruppen

***Vigtigt***
Nogle af vores biler står på fjernlager, du er altid meget velkommen i vores flotte showroom men vi anbefaler at du booker tid til besigtigelse/prøvetur, på denne måde er vi forberedt og sikre os du for det helt rette indtryk af bilen.","Højbjerg, Østjylland",id12010,Detaljer,"Axel Kiers Vej 13, 8270 Højbjerg",CVR-nr.: 10680891,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6203222
289.800 kr.,VW ID.4Pro Performance Life Plus 5d,"6/2023, 17.000 km, 531 km rækkevidde, El","Bemærk udvidet fabriksgaranti til 6/2028 / 100.000km fra VW medfølger U/B ( værdi kr. 10995,-)

BEMÆRK:
• Fuld led forlygter
• IQ sportskabine i dellæder
• 20"" Alufælge
• Parkeringssensor for & bag
• Navigation
• Trådløs Apple carplay & Android auto
• Digitalt cockpit
• Bluetooth til håndfri telefon & musikstreaming
• Komforttelefoni med LTE og Trådløs opladning
• Lædermultifunktionsrat, elopvarmet
• Adaptiv fartpilot
• Vognbaneassistent

77kwh batteri
Type 2 / CCS stik til hurtig opladning

ØVRIG BESKRIVELSE:
multifunktionsrat, 2 zone klima, varme i rat, auto. nedbl. bakspejl, regnsensor, sædevarme, udv. temp. måler, infocenter, kørecomputer, nøglefri betjening, 4x el-ruder, el-klapbare sidespejle m. varme, højdejust. forsæder, trådløs mobilopladning, usb tilslutning, armlæn, isofix, kopholder, læderrat, splitbagsæde, led kørelys, automatisk lys, esp, antispin, abs, servo, automatisk nødbremsesystem, mørktonede ruder i bag, service ok

Vi tager alle biler i bytte – samt kan tilbyde billig finansiering med & uden udbetaling -og oftest billigere end egen bank.

Der kan tegnes garanti forsikring på denne bil.

Mangler bilen lige det sidste? - Vi kan være behjælpelige med eftermontering af div. ekstraudstyr som Træk, Apple carplay/Android auto, alufælge mm.

Man-fre: 09.00-17.30
Lør: Lukket.
Søn/helligdage: 11.00-16.00

Vi tager forbehold for tryk- og tastefejl.

Kontakt os for mere info på Info@niels-biler.dk eller på tlf:35125959 📞","Taastrup, København",id9531,Detaljer,"Rugvænget 32b, 2630 Taastrup",CVR-nr.: 33067607,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6194930
259.900 kr.,VW ID.4Pro Performance 1ST Max 5d,"6/2021, 64.000 km, 490 km rækkevidde, El","særdeles veludstyret og velholdt bil, rummelig og med gode køre egenskaber, svingbart træk , nysynet, inkl. 1 sæk.vinterhjul, service ok, ikke ryger, 3 zone klima, elektrisk kabinevarmer, 21"" Alufælge, varmepumpe, nøglefri betjening, sædevarme, headup display, Apple CarPlay, Android Auto, digitalt cockpit, musikstreaming via bluetooth, håndfrit til mobil, intelligent Matrix lygter, navigation, multifunktionsrat, armlæn, læderrat, splitbagsæde, fuld LED forlygter, ESP, vognbaneassistent, adaptiv fartpilot, 360° kamera, parkeringssensor (for), parkeringssensor (bag), el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, glastag, Ergo el indst. forsæder, regnsensor, auto. nedbl. Bakspejl, udv. temp. måler, startspærre, airc., AUX tilslutning, tagræling, mørktonede ruder i bag, automatisk nødbremsesystem, kopholder, isofix, dellæder., træk, trådløs mobilopladning, lev. nysynet,","Holte, København",id11679,Detaljer,"Kongevejen 397, 2840 Holte",CVR-nr.: 36560169,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6318269
289.900 kr.,VW ID.4GTX 4Motion 5d,"12/2021, 23.000 km, 479 km rækkevidde, El","VW ID.4 GTX 4MOTION i Mangan Grey Metallic

Volkswagen ID.4 GTX er den sportslige og kraftfulde udgave af ID.4 med firehjulstræk og 220 kW motorkraft. Den kombinerer køreglæde og elbilens bæredygtige teknologi, perfekt til både by- og langturskørsel.

Ekstraudstyr:
* Komfortpakke
* Multimediapakke Plus
* Assistentpakke
* Varmepumpe 

Standardudstyr:
aut., 20"" alufælge, 2 zone klima, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, 4x el-ruder, el-klapbare sidespejle m. varme, bakkamera, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, dab radio, skiltegenkendelse, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, headup display, android auto, apple carplay, digitalt cockpit, armlæn, kopholder, splitbagsæde, læderrat, fjernlysassistent, led kørelys, fuld led forlygter, airbag, vognbaneassistent

✅ Finansiering 
Skræddersyet finansiering i samarbejde med Volkswagen Financial Services.

🔧 Serviceabonnement
Fast månedlig betaling, så du undgår uforudsete udgifter til service.

🤝 Forsikring
Volkswagen Forsikring tilbyder konkurrencedygtige priser.

🚗 Byttebil 
Alle biler accepteres som bytte, uanset stand.

🌟 Vi anbefaler:
- Beskyttelsespakke  
- Undervognsbehandling  
- Vinterhjul i stål  

🚙Hvem er Semler Mobility? 
Autoriseret forhandler af Volkswagen, Audi, Skoda, SEAT og CUPRA. Landsdækkende service fra København til Aalborg.

📞 Kontakt os 
Volkswagen Aalborg
Ny Kærvej 47, 9000 Aalborg
Tlf.: 43 22 34 00
E-mail: aalborg@vw.dk

🕘 Åbningstider: 
Man-Fre: 9-17:30
Lør-Søn: 11-16","Aalborg, Nordjylland",id2917,Detaljer,"Ny Kærvej 47, 9000 Aalborg",CVR-nr.: 27268188,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6264363
319.900 kr.,VW ID.4Pro Performance 5d,"2/2023, 46.300 km, 517 km rækkevidde, El","**Volkswagen ID.4 Pro Performance 2023 - Kun 46.300 km**

Oplev en moderne og stilfuld kørselsoplevelse med denne VW ID.4. Registreret i 2023 og med en kilometerstand på kun 46.300 km, står denne SUV klar til nye eventyr. Elektrisk drevet, komfortabel og pakket med teknologi.

**Højdepunkter:**
- 360° kamera
- Elektrisk bagklap
- Apple CarPlay & Android Auto
- Svingbart anhængertræk (manuelt)

**Detaljer:**
Denne VW ID.4 kombinerer elegant design med exceptionel ydeevne. Med en rækkevidde på op til 517 km og en tophastighed på 160 km/t, er den perfekt til både bykørsel og længere ture. Udstyrsniveauet Pro Performance sikrer topkomfort med funktioner som læder/Alcantara kabine, multifunktionslæderrat, og meget mere.

**Specifikationer:**
- 204 HK, 1 gear
- 77 kWh batteri
- Rækkevidde: 517 km
- Opladning: 125 kW

**Yderligere udstyr:**
- Varmepumpe
- Automatisk lys
- Vejbaneassistent
- Blindvinkelassistent
- Head-up display
- Soltag
- 21"" Alufælge

Med en årlig ejerafgift på kun 780 kr. og 0 gram CO2-udledning per km, får du både økonomi og miljø i tankerne.

Kontakt os for en prøvekørsel i Aalborg. For mere information, skriv til info@maibom.dk. 

Gør din kørsel smartere og mere bæredygtig med VW ID.4!. 

dellæder, skiltegenkendelse, el betjent bagklap, lane assist, blindvinkelsassistent, Apple CarPlay, Android Auto, 4x el-ruder, isofix, ESP, ABS, antispin, 2 zone klima, håndfrit til mobil, multifunktionsrat, regnsensor, sædevarme, udv. temp. måler, højdejust. førersæde, el-soltag, splitbagsæde, tagræling, 8 airbags, 21"" Alufælge, svingbart træk (manuel), mørktonede ruder i bag, armlæn, el-klapbare sidespejle m. varme, headup display, parkeringssensor, automatisk lys, bluetooth, trådløs mobilopladning, musikstreaming via bluetooth, digitalt cockpit, 360° kamera, adaptiv fartpilot","Aalborg, Nordjylland",id3002,Detaljer,"Padevænget 3, 9000 Aalborg",CVR-nr.: 27211615,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6348536
319.900 kr.,VW ID.4Pro Performance 5d,"3/2023, 11.000 km, 514 km rækkevidde, El","⭐️ Super fed sammensat ID.4 pro performance ⭐️ Meget veludstyret ⭐️ Kun kørt 11.000km ⭐️ 

Værd at bemærke om bilen: 
⭐️ Adaptiv fartpilot
⭐️ Vognbaneassistent
⭐️ Blindvinkelsassistent
⭐️ Headup display
⭐️ Assistentpakke Plus
⭐️ Fuld ID LED forlygter
⭐️ Kurvelys & Fjernlysassistent
⭐️ Panorama glastag
⭐️ Sort lofthimmel 
⭐️ Nøglefri adgang & start 
⭐️ El betjent bagklap
⭐️ Navigation m/touch skærm
⭐️ Trådløs Apple Carplay
⭐️ Android auto
⭐️ Håndfrit til mobil
⭐️ Musikstreaming via Bluetooth
⭐️Digital soundpakke med subwoofer
⭐️ Multifunktionsrat i læder m/varme
⭐️ Trådløs mobilopladning
⭐️ Parkeringssensor for & bag
⭐️ Automatisk parkerings system
⭐️ 360° kamera
⭐️ 3 Zone klima

✅ SUPPLERENDE UDSTYRSLISTE:
Aut., 19"" alufælge, varme i rat, elektrisk kabinevarmer, fjernb. c.lås, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. førersæde, 4x el-ruder, elektrisk parkeringsbremse, skiltegenkendelse, dab radio, digitalt cockpit, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, læderrat, automatisk lys, led kørelys, airbag, abs, antispin, esp, servo, automatisk nødbremsesystem, mørktonede ruder i bag, service ok, 

⭐️ Vi tilbyder Facetime / Videogennemgang af bilen efter ønske
⭐️ Vi tilbyder fordelagtige finansieringsmuligheder
⭐️ Mulighed for tilkøb af CarGarantie i op til 2 år & fejlfri FDM attest på de fleste biler
⭐️ Vi hjælper gerne med at skaffe den rigtige bil til dig igennem vores store netværk i udlandet
⭐️ Kontakt os venligst for besigtigelse, så sørger vi for at bilen står klar til en prøvetur
 
✅ Se vores anmeldelser på Trustpilot via linket herunder :
✅ https://dk.trustpilot.com/review/voresbiler.dk

📱 Kim – 28715000 / 📱 Rasmus – 28716000 / 📱 Søren - 28719700
💻 www.voresbiler.dk
📧 salg@voresbiler.dk
📍 Hårupvej 22A
8600 Silkeborg

🕒 Vores Åbningstider:
Mandag – Fredag : 10.00-17.00
Lørdag : Lukket
Søndag : 11.00-16.00,","Silkeborg, Østjylland",id10765,Detaljer,"Hårupvej 22A, 8600 Silkeborg",CVR-nr.: 35039708,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6325864
329.800 kr.,VW ID.4Pro Performance Active 5d,"7/2023, 41.000 km, 531 km rækkevidde, El","Farve: Kings Red Metallic + sort tag

135-kW DC / 11-kW AC opladning

Anhængertræk med svingbar krog og el-frigørelse

El-bagklap
Bakkamera
Ambientebelysning ved dørhåndtag
Nøglefri betjening
Tyverialarm
Pre-Crash
2 USB-C indgange for + 2 stk. i midterkonsol bag
Bagagerumsnet
Climatronic klimaanlæg med 3 zoner og Air Care
Forrude opvarmelig (uden tråde) lyddæmpet og infrarød reflekterende
Forsæder med indstillelig varme
Netadskillelse
Regnsensor
Variabel bagagerumsbund
Mobilforberedelse Comfort m. induktiv opladning
Navigation Discover Pro
App-Connect
19"" letmetalfælge Hamar
LED forlygter m. LED dagskørelys
LED baglygter
Adaptiv fartpilot m. Stop and Go funktion,","Aalestrup, Østjylland",id3110,Detaljer,"Borgergade 37, 9620 Aalestrup",CVR-nr.: 34413215,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6303104
234.900 kr.,VW ID.4Pro Performance 1ST 5d,"5/2021, 74.000 km, 517 km rækkevidde, El","Rigtig fin VW ID.4 Pro Performance klar til ny ejer.
Er du klar til at tage springet til el, men ikke har brug for at være første ejer, så har vi bilen her.

Bilen kommer blandt andet med følgende udstyr:

- LED lygter
- Navigation
- Parkeringssensor for og bag
- Bakkamera
- Interiørpakke Style 
- 20"" letmetalfælge
- Trådløs Carplay
- Nøglefri betjening
- Varme i rattet

Og meget mere...

Eventuelle ekstra tilkøb: 

- Keramisk Coating: Kr. 6.495, - 
- Lakforsegling: Kr. 2.995, - 
- Undervognsbehandling: Kr. 4.990, -","Glostrup, København",id1380,Detaljer,"Hovedvejen  193, 2600 Glostrup",CVR-nr.: 36553103,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6287377
299.800 kr.,VW ID.4Life 5d,"6/2024, 6.800 km, 359 km rækkevidde, El","Scale Silver Metallic

Komfortpakke:
2 zoners klima
Forrude opvamrlig
Forsæder med varme

Assistentpakke:
Bakkamera
Nøglefri betjening
Tyverialarm
Park Assist Plus

Interiørpakke Style Grey/Black:
Højdeindstillig forsæder, indtræk ArtVelour microfleece
Ambientebelysning i 30 farver
Bagsæderyglæn asymmetrisk delt (60/40) med skiklap og midterarmlæn med kopholdere

Navigation, Discover Pro
Varmepumpe
Anhængertræk svingbart.
Multifunktionslæderrat, opvarmeligt
Tonede ruder bag
Adaptiv fartilot
Apple CarPlay","Aalestrup, Østjylland",id3110,Detaljer,"Borgergade 37, 9620 Aalestrup",CVR-nr.: 34413215,https://www.bilbasen.dk/brugt/bil/vw/id4/life-5d/6348490
