Model,Pris,Kørte_kilometer,Link_til_bil
VW ID.4 Pure Performance Goal,"49.040 €ab 646€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pure Performance Goal●○○○○ Hoher Preis: 49.040 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.000 €●●●●○ Guter Preis: 26.000 € zu 27.400 €●●●○○ Fair Preis: 27.400 € zu 30.300 €●●○○○ Erhöhter Preis: 30.300 € zu 31.700 €●○○○○ Hoher Preis: 31.700 € zu 57.700 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 125 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 10 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",10 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907773424&num_on_page=4&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX 4mot. WärmePumpe NaviPro MatrixLED Panorama 1-Gang-Automatik,"39.980 €ab 526€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX 4mot. WärmePumpe NaviPro MatrixLED Panorama 1-Gang-Automatik●○○○○ Hoher Preis: 39.980 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 24.800 €●●●●○ Guter Preis: 24.800 € zu 26.100 €●●●○○ Fair Preis: 26.100 € zu 28.900 €●●○○○ Erhöhter Preis: 28.900 € zu 30.300 €●○○○○ Hoher Preis: 30.300 € zu 55.000 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 220 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 42622 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, Allrad, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Standheizung, Regensensor, Sitzheizung, Scheckheftgepflegt, Schiebedach, Servolenkung, Fensterheber×",42.622 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907940583&num_on_page=5&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro GOAL 1 Gang-Automatik LED*Design-Paket,"57.113 €ab 753€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro GOAL 1 Gang-Automatik LED*Design-Paket●○○○○ Hoher Preis: 57.113 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 210 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 50 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",50 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1910126284&num_on_page=1&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PRO PERFORMANCE 204PS ACC.5J-G.AHK.KAMERA.N,"35.990 €ab 474€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PRO PERFORMANCE 204PS ACC.5J-G.AHK.KAMERA.N●○○○○ Hoher Preis: 35.990 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 8150 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung, Fensterheber×",8.150 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907957548&num_on_page=2&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance 150 kW+LED+NAVI+ACC,"31.980 €ab 421€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance 150 kW+LED+NAVI+ACC●○○○○ Hoher Preis: 31.980 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 28070 kmAusstattung / Eigenschaften: ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Standheizung, Scheckheftgepflegt, Servolenkung, Fensterheber×",28.070 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907918530&num_on_page=3&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
VW ID.4 Pro Performance AHK IQ.Light CCS Navi Pano Alu19Hamar 1-Gang,"35.594 €ab 468€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance AHK IQ.Light CCS Navi Pano Alu19Hamar 1-Gang●○○○○ Hoher Preis: 35.594 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 32458 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Klimaanlage, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Lederinterieur, Navigation, Einparkhilfe, Standheizung, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Tempomat, Anhängerkupplung, Fensterheber×",32.458 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907999946&num_on_page=1&page=2&premium=false&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Elektro Pro Performance Matrix/NAV/ACC/SH,"30.980 €ab 408€ finanzieren ↗●●○○○ Erhöhter Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Elektro Pro Performance Matrix/NAV/ACC/SH●●○○○ Erhöhter Preis: 30.980 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 28630 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",28.630 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907781871&num_on_page=2&page=2&premium=false&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PRO PERFORMANCE NAVI IQ.LIGHT LM20,"35.280 €ab 464€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PRO PERFORMANCE NAVI IQ.LIGHT LM20●○○○○ Hoher Preis: 35.280 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 34999 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",34.999 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907959120&num_on_page=3&page=2&premium=false&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PRO PERFORMANCE 204PS LED.KAMERA.CCS.ACC.NA,"31.440 €ab 414€ finanzieren ↗●●○○○ Erhöhter Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PRO PERFORMANCE 204PS LED.KAMERA.CCS.ACC.NA●●○○○ Erhöhter Preis: 31.440 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 39980 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Fensterheber×",39.980 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907833284&num_on_page=1&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PURE 170PS 5J-G MATRIX.CCS.WÄRMEPUMPE.NAVI.,"28.880 €ab 380€ finanzieren ↗●●●○○ Fair Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PURE 170PS 5J-G MATRIX.CCS.WÄRMEPUMPE.NAVI.●●●○○ Fair Preis: 28.880 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 125 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 23400 kmAusstattung / Eigenschaften: ABS, Airbag, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Fensterheber×",23.400 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907914667&num_on_page=2&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX ACC Kamera 360 Wärmepumpe,"35.979 €ab 474€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX ACC Kamera 360 Wärmepumpe●○○○○ Hoher Preis: 35.979 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 220 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 29644 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",29.644 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907988451&num_on_page=3&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance | NAVI | AHK | ACC | LED |,"37.930 €ab 500€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance | NAVI | AHK | ACC | LED |●○○○○ Hoher Preis: 37.930 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 11919 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Jahreswagen, Garantie, Scheckheftgepflegt×",11.919 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907927686&num_on_page=4&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX 4MOTION AHK IQ.DRIVE WKR Assistenzpaket,"46.140 €ab 608€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX 4MOTION AHK IQ.DRIVE WKR Assistenzpaket●○○○○ Hoher Preis: 46.140 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 220 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 35000 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",35.000 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907804932&num_on_page=5&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PRO SILVER 82kWh LED APP-CONNECT SITZH AHK,"28.600 €ab 377€ finanzieren ↗●●●○○ Fair Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PRO SILVER 82kWh LED APP-CONNECT SITZH AHK●●●○○ Fair Preis: 28.600 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 24.800 €●●●●○ Guter Preis: 24.800 € zu 26.100 €●●●○○ Fair Preis: 26.100 € zu 28.900 €●●○○○ Erhöhter Preis: 28.900 € zu 30.300 €●○○○○ Hoher Preis: 30.300 € zu 55.000 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 61339 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",61.339 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907929249&num_on_page=1&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX ACC Kamera 360 Wärmepumpe,"37.979 €ab 500€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX ACC Kamera 360 Wärmepumpe●○○○○ Hoher Preis: 37.979 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 220 PSErstzulassung: 2022Kraftstoff: BenzinGetriebe: AKilometerzähler: 29644 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",29.644 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907953701&num_on_page=2&page=2&search_id=56378890&title=VW+ID.4+gebraucht+kaufen
