Model,Pris_DKK,Kilometer_kategori,Land
VW ID.4Pro Performance 1ST 5d,229800,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,289800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,289900,10-50k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance Active 5d,329800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234900,0-10k,Danmark
VW ID.4Life 5d,299800,0-10k,Danmark
VW ID.4Pro 5d,239999,0-10k,Danmark
VW ID.4Pure 5d,189700,0-10k,Danmark
VW ID.41ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,288700,10-50k,Danmark
VW ID.4Pro Performance Life 5d,229500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,221900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,379900,10-50k,Danmark
VW ID.4Pro Performance 5d,299800,0-10k,Danmark
VW ID.4Pro Performance 5d,274500,0-10k,Danmark
VW ID.4GTX 4Motion 5d,364900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,299000,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,10-50k,Danmark
VW ID.4Pro Performance 5d,238900,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,227800,0-10k,Danmark
VW ID.4Pro Performance 5d,249800,0-10k,Danmark
VW ID.4GTX 4Motion 5d,389900,10-50k,Danmark
VW ID.4Pro Performance 5d,244442,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,224900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319000,0-10k,Danmark
VW ID.4Pro Performance 5d,239999,0-10k,Danmark
VW ID.4Pro Performance Active 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro 5d,379900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,269780,0-10k,Danmark
VW ID.4Pro Performance Family 5d,239900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,259700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259952,0-10k,Danmark
VW ID.4Pro 5d,369900,0-10k,Danmark
VW ID.4Pro Performance 5d,309800,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,249000,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,263800,0-10k,Danmark
VW ID.4Pro Performance 5d,271999,10-50k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,299000,0-10k,Danmark
VW ID.4Pro Performance 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,324900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,309000,10-50k,Danmark
VW ID.4Pro Performance 5d,284000,10-50k,Danmark
VW ID.4GTX 4Motion 5d,369500,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,247700,0-10k,Danmark
VW ID.41ST Max 5d,289500,0-10k,Danmark
VW ID.4GTX 4Motion 5d,287900,0-10k,Danmark
VW ID.4Pro Performance 5d,379900,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,289900,10-50k,Danmark
VW ID.4Pro Performance 5d,329900,10-50k,Danmark
VW ID.4Pro Performance 5d,279900,10-50k,Danmark
VW ID.4Pro Performance 5d,324900,0-10k,Danmark
VW ID.4Pro Performance 5d,334800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,257700,0-10k,Danmark
VW ID.4Pro Performance Max 5d,289900,0-10k,Danmark
VW ID.41ST Pro 5d,299900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,259700,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269500,0-10k,Danmark
VW ID.4Pro Performance 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259999,0-10k,Danmark
VW ID.41ST Max 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 5d,319800,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,239239,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234234,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.41ST Pro 5d,224900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,299800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,299900,10-50k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259999,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,288999,0-10k,Danmark
VW ID.4Style 5d,397585,0-10k,Danmark
VW ID.4Pro Performance 5d,292999,10-50k,Danmark
VW ID.4Pro Performance Business 5d,259400,0-10k,Danmark
VW ID.4Pro Performance 5d,369995,0-10k,Danmark
VW ID.4GTX 4Motion 5d,474500,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,10-50k,Danmark
VW ID.4Pro Performance Tech 5d,259999,0-10k,Danmark
VW ID.4Pro Performance 5d,249999,0-10k,Danmark
VW ID.4Style 4Motion 5d,399500,0-10k,Danmark
VW ID.4GTX 4Motion 5d,327900,0-10k,Danmark
VW ID.4Pro Performance 5d,357500,10-50k,Danmark
VW ID.41ST Plus Max 5d,239900,0-10k,Danmark
VW ID.4Life 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,222900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289800,0-10k,Danmark
VW ID.4Pro Performance 5d,284800,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4Style 5d,389900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,312900,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,274900,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,287800,0-10k,Danmark
VW ID.4Pro Performance 5d,244995,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264800,10-50k,Danmark
VW ID.41ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259999,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.41ST Max 5d,264500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,224900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259800,10-50k,Danmark
VW ID.4GTX 4Motion 5d,309900,0-10k,Danmark
VW ID.4Pro Performance Active 4Motion 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,267800,10-50k,Danmark
VW ID.4Pro Performance 5d,357500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259800,0-10k,Danmark
VW ID.4Pro Performance 5d,364500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,262800,10-50k,Danmark
VW ID.4Pro 5d,274500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,292800,0-10k,Danmark
VW ID.4Pro Performance 5d,327500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,224900,0-10k,Danmark
VW ID.4Pro Performance 5d,307700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,306500,0-10k,Danmark
VW ID.4Pro Performance 75 Years Edition 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 5d,339800,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,10-50k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,236400,10-50k,Danmark
VW ID.4Pro Performance 5d,358500,10-50k,Danmark
VW ID.4Pro Performance 5d,228700,10-50k,Danmark
VW ID.4Pure 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,304500,0-10k,Danmark
VW ID.4Pro Performance Max 5d,269900,0-10k,Danmark
VW ID.4Style 5d,397585,0-10k,Danmark
VW ID.4Pure Performance 5d,184900,10-50k,Danmark
VW ID.4Pro Performance 5d,278800,0-10k,Danmark
VW ID.4Pro Performance 5d,288800,0-10k,Danmark
VW ID.4Pro Performance Max 5d,274999,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,239800,0-10k,Danmark
VW ID.4Pro Performance 4Motion 5d,419900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,244800,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,279990,0-10k,Danmark
VW ID.4Pro Performance 5d,279990,10-50k,Danmark
VW ID.4Pro Performance 5d,329800,0-10k,Danmark
VW ID.4Pro Performance 5d,244800,0-10k,Danmark
VW ID.4Pure Performance 5d,199800,0-10k,Danmark
VW ID.41ST Max 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,10-50k,Danmark
VW ID.4GTX 4Motion 5d,339900,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.41ST Max 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,339900,0-10k,Danmark
VW ID.4Pro Performance 5d,239900,10-50k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,257800,10-50k,Danmark
VW ID.4GTX 4Motion 5d,369900,10-50k,Danmark
VW ID.41ST Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,234800,0-10k,Danmark
VW ID.4Pro Performance Max 5d,264900,0-10k,Danmark
VW ID.41ST Max 5d,259900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,292800,0-10k,Danmark
VW ID.4Pro Performance Max 5d,284800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234900,0-10k,Danmark
VW ID.4Style 5d,397585,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,375500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,329800,0-10k,Danmark
VW ID.4Pure Performance 5d,219800,0-10k,Danmark
VW ID.4Pro Performance 5d,305900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,264999,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,217900,0-10k,Danmark
VW ID.4Pro Performance 5d,254800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269800,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,269800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,299800,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,299500,0-10k,Danmark
VW ID.4Pro Performance 5d,344900,0-10k,Danmark
VW ID.4Pro Performance 5d,334900,0-10k,Danmark
VW ID.4Pro Performance 5d,317500,0-10k,Danmark
VW ID.4Pro Performance 5d,248900,0-10k,Danmark
VW ID.41ST Max 5d,299900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,334900,0-10k,Danmark
VW ID.4Pro 5d,NA,0-10k,Danmark
VW ID.4Pro 5d,NA,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,334800,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,259500,0-10k,Danmark
VW ID.4GTX 4Motion 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,254800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,254900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 5d,218900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 5d,319800,10-50k,Danmark
VW ID.4Pro Performance 5d,319800,10-50k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,267500,0-10k,Danmark
VW ID.4Pro Performance 5d,299700,0-10k,Danmark
VW ID.4Pro Performance Family 5d,249800,0-10k,Danmark
VW ID.4Pro Performance 5d,319700,10-50k,Danmark
VW ID.4Pro Performance 5d,319800,10-50k,Danmark
VW ID.41ST Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,262800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264800,10-50k,Danmark
VW ID.4Pro Performance Family 5d,274999,0-10k,Danmark
VW ID.4Pro Performance 5d,286999,0-10k,Danmark
VW ID.4Pro Performance 5d,324900,10-50k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 75 Years Edition 5d,337900,0-10k,Danmark
VW ID.4Pro Performance 5d,259999,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Style 5d,394900,0-10k,Danmark
VW ID.4Life 5d,319900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,294900,10-50k,Danmark
VW ID.4Pro Performance 5d,314800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,299800,0-10k,Danmark
VW ID.4Pro Performance 5d,224800,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,249999,0-10k,Danmark
VW ID.4Pure Performance 5d,199700,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319800,0-10k,Danmark
VW ID.4Pro Performance 5d,289990,0-10k,Danmark
VW ID.4GTX 4Motion 5d,324800,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,289990,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.41ST Max 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Style 5d,379900,0-10k,Danmark
VW ID.41ST Pro 5d,224500,0-10k,Danmark
VW ID.4Pure Performance 5d,174800,0-10k,Danmark
VW ID.4Pro Performance Business 5d,239500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 5d,244500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,249500,0-10k,Danmark
VW ID.4Pro Performance Family 5d,244900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,319800,0-10k,Danmark
VW ID.4City 5d,209999,10-50k,Danmark
VW ID.4Pure Performance 5d,209900,0-10k,Danmark
VW ID.4Pro Performance 5d,353500,0-10k,Danmark
VW ID.4Pro Performance 5d,359500,0-10k,Danmark
VW ID.4Pro Performance Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,344500,0-10k,Danmark
VW ID.4Pro Performance 5d,358500,0-10k,Danmark
VW ID.4Pro Performance 5d,356500,0-10k,Danmark
VW ID.4Pro Performance 5d,352500,0-10k,Danmark
VW ID.4Pro Performance 5d,346500,0-10k,Danmark
VW ID.4Pro Performance 5d,359500,0-10k,Danmark
VW ID.4Tech Performance 5d,269500,0-10k,Danmark
VW ID.4Pro Performance Max 5d,289700,10-50k,Danmark
VW ID.4Pro Performance 5d,364500,0-10k,Danmark
VW ID.4Family Performance 5d,309800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,10-50k,Danmark
VW ID.4Pro Performance 5d,299900,10-50k,Danmark
VW ID.4Pro Performance 5d,304900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259700,0-10k,Danmark
VW ID.4Pro Performance Max 5d,299700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,284700,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,256800,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,244900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,369900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,359900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,314500,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Life 5d,309900,0-10k,Danmark
VW ID.4Pure 5d,229900,0-10k,Danmark
VW ID.4Pure 5d,224900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,339800,0-10k,Danmark
VW ID.4City 5d,209900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,289500,0-10k,Danmark
VW ID.4Pro Performance 5d,209700,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,299990,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249800,0-10k,Danmark
VW ID.4Life Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,274990,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244800,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,284500,0-10k,Danmark
VW ID.4Pro Performance 5d,239700,0-10k,Danmark
VW ID.4Pro Performance 5d,239700,0-10k,Danmark
VW ID.4GTX 4Motion 5d,324900,0-10k,Danmark
VW ID.4Pro Performance 5d,364500,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,219900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,324900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,209900,10-50k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 4Motion 5d,409900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pure 5d,194900,0-10k,Danmark
VW ID.4Pure 5d,219900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,234900,0-10k,Danmark
VW ID.41ST Max 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234400,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,224900,0-10k,Danmark
VW ID.41ST Pro 5d,199900,10-50k,Danmark
VW ID.4Pro Performance 5d,359900,0-10k,Danmark
VW ID.4Pro Performance 75 Years Edition 5d,329900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,268800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,217800,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,228800,0-10k,Danmark
VW ID.4Business Performance 5d,249900,0-10k,Danmark
VW ID.4Max Performance 5d,279800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4Pro Active 5d,279990,0-10k,Danmark
VW ID.4Pro Active 5d,279990,0-10k,Danmark
VW ID.4Pro Performance 5d,239000,0-10k,Danmark
VW ID.4Pure Performance 5d,179900,0-10k,Danmark
VW ID.4Pure 5d,234700,0-10k,Danmark
VW ID.4Pro 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259000,0-10k,Danmark
VW ID.4Style 5d,389995,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,229900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299800,10-50k,Danmark
VW ID.4Pro Performance Life Plus 5d,308900,10-50k,Danmark
VW ID.4Pro Performance Life Plus 5d,308900,10-50k,Danmark
VW ID.4Pro Performance Life Plus 5d,308900,10-50k,Danmark
VW ID.4Pro 5d,364900,0-10k,Danmark
VW ID.4Pro Performance 5d,239000,0-10k,Danmark
VW ID.4Life 5d,300000,0-10k,Danmark
VW ID.4GTX 4Motion 5d,329800,0-10k,Danmark
VW ID.4Pro Performance 5d,249249,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219700,0-10k,Danmark
VW ID.4Pro Performance 5d,319800,10-50k,Danmark
VW ID.4Pro Performance 5d,279800,0-10k,Danmark
VW ID.4Pro Performance 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro 5d,274900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.41ST Max 5d,279900,10-50k,Danmark
VW ID.4GTX 4Motion 5d,329000,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,10-50k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,234500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,222900,0-10k,Danmark
VW ID.4Style 5d,364000,0-10k,Danmark
VW ID.4Pro Performance 5d,374500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239700,0-10k,Danmark
VW ID.4Life 5d,284900,0-10k,Danmark
VW ID.4Pro Performance 5d,278900,0-10k,Danmark
